,user_id,streamer_name,start_time,community
1093,43,0,93,8
1094,43,1,281,8
1098,43,2,281,5
1099,43,3,281,5
1101,43,0,379,8
1110,43,4,981,8
1111,43,0,1108,8
1112,43,4,1560,8
1116,43,5,1832,8
1118,43,6,1980,8
1119,43,5,1985,8
1120,43,4,1988,8
1124,43,5,2425,8
1128,43,7,3214,8
1131,43,4,3422,8
1135,43,4,3556,8
1140,43,4,3840,8
1141,43,8,4277,8
1149,43,0,4965,8
1150,43,8,4996,8
1151,43,5,5125,8
1152,43,9,5236,5
1153,43,10,5229,8
1155,43,11,5230,8
1157,43,12,5282,10
1158,43,13,5256,8
1159,43,14,5282,8
1161,43,1,5282,8
1163,43,8,5282,8
1164,43,11,5388,8
1165,43,9,5528,5
2760,108,15,122,8
2761,108,16,219,8
2762,108,17,220,8
2763,108,18,235,8
2764,108,17,805,8
2765,108,16,1085,8
2766,108,19,1097,8
2767,108,20,1245,8
2768,108,21,1249,8
2769,108,17,1374,8
2770,108,22,1552,8
2771,108,17,1812,8
2772,108,21,2256,8
2773,108,16,2273,8
2774,108,16,2412,8
2775,108,23,2533,8
2776,108,18,2657,8
2777,108,24,2764,5
2778,108,25,3088,8
2779,108,26,3083,8
2780,108,26,3085,8
2781,108,21,3284,8
2782,108,17,3274,8
2783,108,27,3563,8
2784,108,17,3555,8
2785,108,19,3657,8
2786,108,28,3807,8
2787,108,21,3963,8
2788,108,17,3992,8
2789,108,17,4118,8
2790,108,21,4129,8
2792,108,29,4286,8
2793,108,28,4277,8
2794,108,30,4360,8
2795,108,27,4395,8
2796,108,21,4410,8
2797,108,16,4515,8
2798,108,27,4668,8
2799,108,17,4679,8
2800,108,31,4823,8
2801,108,16,4836,8
2802,108,21,4999,8
2803,108,25,5068,8
2804,108,19,5081,8
2805,108,17,5094,8
2806,108,18,5117,8
2807,108,32,5238,8
2808,108,27,5240,8
2809,108,31,5234,8
2810,108,18,5254,8
2811,108,16,5271,8
2812,108,27,5381,8
2813,108,18,5419,8
2814,108,22,5420,8
2815,108,18,5537,8
2816,108,20,5644,8
2817,108,33,5992,8
2818,108,25,6084,8
2819,108,31,6083,8
2820,108,17,6088,8
2821,108,22,6143,8
6250,218,0,223,8
6253,218,34,356,5
6265,218,34,937,5
6266,218,26,1066,8
6268,218,34,1364,5
6273,218,34,1685,5
6279,218,0,1951,8
6281,218,26,2049,8
6287,218,34,2216,5
6293,218,7,2335,8
6295,218,34,2488,5
6298,218,0,2526,8
6303,218,7,3203,8
6307,218,7,3343,8
6320,218,0,5105,8
6326,218,0,5379,8
9692,329,35,341,0
9693,329,35,342,0
9694,329,36,437,0
9695,329,35,504,0
9696,329,37,518,0
9697,329,36,586,0
9698,329,38,629,0
9699,329,39,829,0
9700,329,40,866,0
9701,329,41,1069,0
9702,329,42,1105,0
9704,329,40,1160,0
9705,329,43,1273,0
9707,329,44,1510,5
9708,329,45,1520,0
9709,329,35,1730,0
9710,329,45,1792,0
